Edad;Sexo;Unidad;Periodo;Total
Total;Mujeres;Valor absoluto;2012T3;2.687,6
Total;Mujeres;Valor absoluto;2012T2;2.606,5
Total;Mujeres;Valor absoluto;2012T1;2.615,4
Total;Mujeres;Valor absoluto;2011T4;2.429,6
Total;Mujeres;Valor absoluto;2011T3;2.301,8
Total;Mujeres;Valor absoluto;2011T2;2.219,7
Total;Mujeres;Valor absoluto;2011T1;2.276,0
Total;Mujeres;Valor absoluto;2010T4;2.149,7
Total;Mujeres;Valor absoluto;2010T3;2.100,1
Total;Mujeres;Valor absoluto;2010T2;2.109,5
Total;Mujeres;Valor absoluto;2010T1;2.058,3
Total;Mujeres;Valor absoluto;2009T4;1.931,2
Total;Mujeres;Valor absoluto;2009T3;1.830,9
Total;Mujeres;Valor absoluto;2009T2;1.843,5
Total;Mujeres;Valor absoluto;2009T1;1.810,3
Total;Mujeres;Valor absoluto;2008T4;1.507,2
Total;Mujeres;Valor absoluto;2008T3;1.242,9
Total;Mujeres;Valor absoluto;2008T2;1.194,9
Total;Mujeres;Valor absoluto;2008T1;1.160,1
Total;Mujeres;Valor absoluto;2007T4;1.047,6
Total;Mujeres;Valor absoluto;2007T3;994,6
Total;Mujeres;Valor absoluto;2007T2;980,7
Total;Mujeres;Valor absoluto;2007T1;1.055,9
Total;Mujeres;Valor absoluto;2006T4;1.043,8
Total;Mujeres;Valor absoluto;2006T3;999,2
Total;Mujeres;Valor absoluto;2006T2;1.032,1
Total;Mujeres;Valor absoluto;2006T1;1.086,3
Total;Mujeres;Valor absoluto;2005T4;1.022,0
Total;Mujeres;Valor absoluto;2005T3;967,7
Total;Mujeres;Valor absoluto;2005T2;1.054,0
Total;Mujeres;Valor absoluto;2005T1;1.162,7
Total;Mujeres;Valor absoluto;2004T4;1.228,9
Total;Mujeres;Valor absoluto;2004T3;1.210,7
Total;Mujeres;Valor absoluto;2004T2;1.255,2
Total;Mujeres;Valor absoluto;2004T1;1.282,5
Total;Mujeres;Valor absoluto;2003T4;1.262,2
Total;Mujeres;Valor absoluto;2003T3;1.257,6
Total;Mujeres;Valor absoluto;2003T2;1.251,2
Total;Mujeres;Valor absoluto;2003T1;1.316,6
Total;Mujeres;Valor absoluto;2002T4;1.240,5
Total;Mujeres;Valor absoluto;2002T3;1.242,7
Total;Mujeres;Valor absoluto;2002T2;1.216,2
Total;Mujeres;Valor absoluto;2002T1;1.216,7
